year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning,smoke_impact,normalized_smoke_impact
1967,1967-07-20,OAK TREE (2),0.0994568280936601,Wildfire,379.74824234048674,Listed Wildfire Discovery Date(s): 1967-07-20 (1) | Listed Wildfire Controlled Date(s): 1967-07-20 (1) | Listed Wildfire Out Date(s): 1967-07-21 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),103,7.10362920949834e-05,7.103376913706644e-05
1969,1969-05-04,PAINE RUN (2),7.737741609041988,Wildfire,406.9693980257376,Listed Wildfire Discovery Date(s): 1969-05-04 (1) | Listed Wildfire Controlled Date(s): 1969-05-04 (1) | Listed Wildfire Out Date(s): 1969-05-05 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),180,0.008409365339375637,0.008374203614339357
1969,1969-06-08,MADISON RU (2),0.5783937729445568,Wildfire,402.77736129271005,Listed Wildfire Discovery Date(s): 1969-06-08 (1) | Listed Wildfire Controlled Date(s): 1969-06-08 (1) | Listed Wildfire Out Date(s): 1969-06-08 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),145,0.000516965434452213,0.0005168318538577211
1969,1969-10-18,MD 77 (2),0.0994767389082567,Wildfire,397.0830508488197,Listed Wildfire Discovery Date(s): 1969-10-18 (1) | Listed Wildfire Controlled Date(s): 1969-10-18 (1) | Listed Wildfire Out Date(s): 1969-10-18 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),13,8.201668126630264e-06,8.201634493134134e-06
1970,1970-05-20,GRINDSTONE (2),30.95748175924135,Wildfire,383.00061895051834,Listed Wildfire Discovery Date(s): 1970-05-20 (1) | Listed Wildfire Controlled Date(s): 1970-05-21 (1) | Listed Wildfire Out Date(s): 1970-05-27 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),164,0.0346107110894959,0.03402523141353995
1971,1971-05-02,211 EAST (2),0.0994427740791904,Wildfire,365.9324785446613,Listed Wildfire Discovery Date(s): 1971-05-02 (1) | Listed Wildfire Controlled Date(s): 1971-05-02 (1) | Listed Wildfire Out Date(s): 1971-05-02 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),182,0.00013515829496448805,0.0001351491619050691
1971,1971-07-01,EQUITATION (3),0.0966366990409639,Wildfire,301.07290714592887,"Listed Wildfire Discovery Date(s): 1971-07-01 (1), 1971-04-09 (1) | Listed Wildfire Controlled Date(s): 1971-07-20 (1), 1971-04-09 (1) | Listed Wildfire Out Date(s): 1971-07-20 (1), 1971-04-09 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (2)",122,0.00013006443692964247,0.0001300559792841169
1973,1973-10-24,WHITEOAK Canyon (2),22.8723313888729,Wildfire,372.69795682557,Listed Wildfire Discovery Date(s): 1973-10-24 (1) | Listed Wildfire Controlled Date(s): 1973-10-24 (1) | Listed Wildfire Out Date(s): 1973-10-29 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),7,0.0011526420280366099,0.0011519782462337835
1973,1973-05-04,ABRAM MT (2),21.67701056898283,Wildfire,387.1598289066257,Listed Wildfire Discovery Date(s): 1973-05-04 (1) | Listed Wildfire Controlled Date(s): 1973-05-04 (1) | Listed Wildfire Out Date(s): 1973-05-09 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),180,0.026031027797184917,0.025697987809036402
1973,1973-10-28,LEADING Ridge (2),6.496484861108861,Wildfire,369.08883090627154,Listed Wildfire Discovery Date(s): 1973-10-28 (1) | Listed Wildfire Controlled Date(s): 1973-10-28 (1) | Listed Wildfire Out Date(s): 1973-11-01 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),3,0.00014306647583057326,0.0001430562427983109
1973,1973-06-03,RT 211E (2),0.2487188864232857,Wildfire,366.1616209167837,Listed Wildfire Discovery Date(s): 1973-06-03 (1) | Listed Wildfire Controlled Date(s): 1973-06-03 (1) | Listed Wildfire Out Date(s): 1973-06-03 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),150,0.00027826230592383627,0.00027822359814883056
1973,1973-09-11,CRESCENT Rock (2),0.0994494134708683,Wildfire,373.923741129153,Listed Wildfire Discovery Date(s): 1973-09-11 (1) | Listed Wildfire Controlled Date(s): 1973-09-11 (1) | Listed Wildfire Out Date(s): 1973-09-11 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),50,3.556363546751201e-05,3.5563003096421074e-05
1974,1974-05-08,CROW HOLLW (2),27.86347596290072,Wildfire,385.37616633042745,Listed Wildfire Discovery Date(s): 1974-05-08 (1) | Listed Wildfire Controlled Date(s): 1974-05-09 (1) | Listed Wildfire Out Date(s): 1974-05-14 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),176,0.03302009034579199,0.03248663849222612
1974,1974-07-11,KETTLE CAN (2),2.982895529607668,Wildfire,372.7324178505063,Listed Wildfire Discovery Date(s): 1974-07-11 (1) | Listed Wildfire Controlled Date(s): 1974-07-11 (1) | Listed Wildfire Out Date(s): 1974-07-27 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),112,0.0024047045930938576,0.002401817917811867
